no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
848	2011-08-30	14:54:00	2011-08-30	14:54:48	315	45	*	*	*	*	*	*	*	2011-08-30 14:54:00	2011-08-30 14:54:48	2011-08-30 13:54:00	2011-08-30 13:54:48	2011-08-30 12:54:00	2011-08-30 12:54:48	/gehme/data/stereo/secchi/L0/a/img/cor2/20110830/20110830_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110830/20110830_135400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110830/20110830_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110830/20110830_125400_d4c2B.fts
849	2011-08-31	17:54:00	2011-09-01	02:54:48	45	315	*	*	*	*	*	*	*	2011-08-31 17:54:00	2011-09-01 02:54:48	2011-08-31 16:54:00	2011-09-01 01:54:48	2011-08-31 15:54:00	2011-09-01 00:54:48	/gehme/data/stereo/secchi/L0/a/img/cor2/20110831/20110831_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110901/20110901_015400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110831/20110831_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110901/20110901_005400_d4c2B.fts
850	2011-09-01	12:54:00	2011-09-01	13:54:48	315	45	*	*	*	*	*	*	*	2011-09-01 12:54:00	2011-09-01 13:54:48	2011-09-01 11:54:00	2011-09-01 12:54:48	2011-09-01 10:54:00	2011-09-01 11:54:48	/gehme/data/stereo/secchi/L0/a/img/cor2/20110901/20110901_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110901/20110901_125400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110901/20110901_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110901/20110901_115400_d4c2B.fts
851	2011-09-02	07:54:00	2011-09-02	10:54:49	225/90	135/270	*	*	*	*	*	*	*	2011-09-02 07:54:00	2011-09-02 10:54:49	2011-09-02 06:54:00	2011-09-02 09:54:49	2011-09-02 05:54:00	2011-09-02 08:54:49	/gehme/data/stereo/secchi/L0/a/img/cor2/20110902/20110902_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110902/20110902_095400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110902/20110902_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110902/20110902_085400_d4c2B.fts
852	2011-09-02	23:54:00	2011-09-02	23:54:49	315	45	*	*	*	*	*	*	*	2011-09-02 23:54:00	2011-09-02 23:54:49	2011-09-02 22:54:00	2011-09-02 22:54:49	2011-09-02 21:54:00	2011-09-02 21:54:49	/gehme/data/stereo/secchi/L0/a/img/cor2/20110902/20110902_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110902/20110902_225400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110902/20110902_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110902/20110902_215400_d4c2B.fts
853	2011-09-03	14:54:00	2011-09-03	14:54:49	270	90	*	*	*	*	*	*	*	2011-09-03 14:54:00	2011-09-03 14:54:49	2011-09-03 13:54:00	2011-09-03 13:54:49	2011-09-03 12:54:00	2011-09-03 12:54:49	/gehme/data/stereo/secchi/L0/a/img/cor2/20110903/20110903_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110903/20110903_135400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110903/20110903_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110903/20110903_125400_d4c2B.fts
854	2011-09-03	17:54:00	2011-09-03	18:54:49	270	90	*	*	*	*	*	*	*	2011-09-03 17:54:00	2011-09-03 18:54:49	2011-09-03 16:54:00	2011-09-03 17:54:49	2011-09-03 15:54:00	2011-09-03 16:54:49	/gehme/data/stereo/secchi/L0/a/img/cor2/20110903/20110903_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110903/20110903_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110903/20110903_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110903/20110903_165400_d4c2B.fts
855	2011-09-05	02:54:00	2011-09-05	02:54:49	360	360	*	*	*	*	*	*	*	2011-09-05 02:54:00	2011-09-05 02:54:49	2011-09-05 01:54:00	2011-09-05 01:54:49	2011-09-05 00:54:00	2011-09-05 00:54:49	/gehme/data/stereo/secchi/L0/a/img/cor2/20110905/20110905_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110905/20110905_015400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110905/20110905_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110905/20110905_005400_d4c2B.fts
856	2011-09-05	12:54:00	2011-09-05	12:54:49	225	135	*	*	*	*	*	*	*	2011-09-05 12:54:00	2011-09-05 12:54:49	2011-09-05 11:54:00	2011-09-05 11:54:49	2011-09-05 10:54:00	2011-09-05 10:54:49	/gehme/data/stereo/secchi/L0/a/img/cor2/20110905/20110905_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110905/20110905_115400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110905/20110905_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110905/20110905_105400_d4c2B.fts
857	2011-09-06	02:54:00	2011-09-06	02:54:50	45	315	*	*	*	*	*	*	*	2011-09-06 02:54:00	2011-09-06 02:54:50	2011-09-06 01:54:00	2011-09-06 01:54:50	2011-09-06 00:54:00	2011-09-06 00:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_015400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_005400_d4c2B.fts
858	2011-09-06	05:54:00	2011-09-06	05:54:50	315	45	*	*	*	*	*	*	*	2011-09-06 05:54:00	2011-09-06 05:54:50	2011-09-06 04:54:00	2011-09-06 04:54:50	2011-09-06 03:54:00	2011-09-06 03:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_045400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_045400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_035400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_035400_d4c2B.fts
859	2011-09-06	11:54:00	2011-09-06	12:54:50	180	135	*	*	*	*	*	*	*	2011-09-06 11:54:00	2011-09-06 12:54:50	2011-09-06 10:54:00	2011-09-06 11:54:50	2011-09-06 09:54:00	2011-09-06 10:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_115400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_105400_d4c2B.fts
860	2011-09-06	18:54:00	2011-09-06	19:54:50	0	45	*	*	*	*	*	*	*	2011-09-06 18:54:00	2011-09-06 19:54:50	2011-09-06 17:54:00	2011-09-06 18:54:50	2011-09-06 16:54:00	2011-09-06 17:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_175400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_185400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_175400_d4c2B.fts
861	2011-09-06	22:54:00	2011-09-06	22:54:50	45	315	*	*	*	*	*	*	*	2011-09-06 22:54:00	2011-09-06 22:54:50	2011-09-06 21:54:00	2011-09-06 21:54:50	2011-09-06 20:54:00	2011-09-06 20:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_215400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110906/20110906_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110906/20110906_205400_d4c2B.fts
862	2011-09-07	02:54:00	2011-09-07	02:54:50	315	45	*	*	*	*	*	*	*	2011-09-07 02:54:00	2011-09-07 02:54:50	2011-09-07 01:54:00	2011-09-07 01:54:50	2011-09-07 00:54:00	2011-09-07 00:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_015400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_005400_d4c2B.fts
863	2011-09-07	06:54:00	2011-09-07	06:54:50	315/270	45/90	*	*	*	*	*	*	*	2011-09-07 06:54:00	2011-09-07 06:54:50	2011-09-07 05:54:00	2011-09-07 05:54:50	2011-09-07 04:54:00	2011-09-07 04:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_055400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_045400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_045400_d4c2B.fts
864	2011-09-07	13:54:00	2011-09-07	13:54:50	315	45	*	*	*	*	*	*	*	2011-09-07 13:54:00	2011-09-07 13:54:50	2011-09-07 12:54:00	2011-09-07 12:54:50	2011-09-07 11:54:00	2011-09-07 11:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_125400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_115400_d4c2B.fts
865	2011-09-07	18:54:00	2011-09-07	19:54:50	270	90	*	*	*	*	*	*	*	2011-09-07 18:54:00	2011-09-07 19:54:50	2011-09-07 17:54:00	2011-09-07 18:54:50	2011-09-07 16:54:00	2011-09-07 17:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_175400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_185400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_175400_d4c2B.fts
866	2011-09-07	20:54:00	2011-09-07	21:54:50	0	45	*	*	*	*	*	*	*	2011-09-07 20:54:00	2011-09-07 21:54:50	2011-09-07 19:54:00	2011-09-07 20:54:50	2011-09-07 18:54:00	2011-09-07 19:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_195400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_205400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_185400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_195400_d4c2B.fts
867	2011-09-07	23:54:00	2011-09-07	23:54:50	45	315	*	*	*	*	*	*	*	2011-09-07 23:54:00	2011-09-07 23:54:50	2011-09-07 22:54:00	2011-09-07 22:54:50	2011-09-07 21:54:00	2011-09-07 21:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_225400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110907/20110907_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110907/20110907_215400_d4c2B.fts
868	2011-09-08	04:54:00	2011-09-08	04:54:50	135	225	*	*	*	*	*	*	*	2011-09-08 04:54:00	2011-09-08 04:54:50	2011-09-08 03:54:00	2011-09-08 03:54:50	2011-09-08 02:54:00	2011-09-08 02:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110908/20110908_035400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110908/20110908_035400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110908/20110908_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110908/20110908_025400_d4c2B.fts
869	2011-09-08	06:54:00	2011-09-08	07:54:50	45	315	*	*	*	*	*	*	*	2011-09-08 06:54:00	2011-09-08 07:54:50	2011-09-08 05:54:00	2011-09-08 06:54:50	2011-09-08 04:54:00	2011-09-08 05:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110908/20110908_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110908/20110908_065400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110908/20110908_045400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110908/20110908_055400_d4c2B.fts
870	2011-09-08	22:54:00	2011-09-08	22:54:50	315	45	*	*	*	*	*	*	*	2011-09-08 22:54:00	2011-09-08 22:54:50	2011-09-08 21:54:00	2011-09-08 21:54:50	2011-09-08 20:54:00	2011-09-08 20:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110908/20110908_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110908/20110908_215400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110908/20110908_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110908/20110908_205400_d4c2B.fts
871a	2011-09-09	07:54:00	2011-09-09	09:54:50	90/45	270/315	*	*	*	*	*	*	*	2011-09-09 07:54:00	2011-09-09 09:54:50	2011-09-09 06:54:00	2011-09-09 08:54:50	2011-09-09 05:54:00	2011-09-09 07:54:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20110909/20110909_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110909/20110909_085400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110909/20110909_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110909/20110909_075400_d4c2B.fts
871b	2011-09-09	*	2011-09-09	*	*	*	*	*	*	*	*	*	*			NaT	NaT	NaT	NaT	*	*	*	*
872	2011-09-09	17:54:00	2011-09-09	17:54:51	270	90	*	*	*	*	*	*	*	2011-09-09 17:54:00	2011-09-09 17:54:51	2011-09-09 16:54:00	2011-09-09 16:54:51	2011-09-09 15:54:00	2011-09-09 15:54:51	/gehme/data/stereo/secchi/L0/a/img/cor2/20110909/20110909_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110909/20110909_165400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110909/20110909_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110909/20110909_155400_d4c2B.fts
873	2011-09-10	03:54:00	2011-09-10	03:54:51	45	315	*	*	*	*	*	*	*	2011-09-10 03:54:00	2011-09-10 03:54:51	2011-09-10 02:54:00	2011-09-10 02:54:51	2011-09-10 01:54:00	2011-09-10 01:54:51	/gehme/data/stereo/secchi/L0/a/img/cor2/20110910/20110910_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110910/20110910_025400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110910/20110910_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110910/20110910_015400_d4c2B.fts
874	2011-09-10	10:54:00	2011-09-10	11:54:51	90	270	*	*	*	*	*	*	*	2011-09-10 10:54:00	2011-09-10 11:54:51	2011-09-10 09:54:00	2011-09-10 10:54:51	2011-09-10 08:54:00	2011-09-10 09:54:51	/gehme/data/stereo/secchi/L0/a/img/cor2/20110910/20110910_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110910/20110910_105400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110910/20110910_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110910/20110910_095400_d4c2B.fts
875	2011-09-11	09:54:00	2011-09-11	11:54:51	270	45	*	*	*	*	*	*	*	2011-09-11 09:54:00	2011-09-11 11:54:51	2011-09-11 08:54:00	2011-09-11 10:54:51	2011-09-11 07:54:00	2011-09-11 09:54:51	/gehme/data/stereo/secchi/L0/a/img/cor2/20110911/20110911_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110911/20110911_105400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110911/20110911_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110911/20110911_095400_d4c2B.fts
876	2011-09-13	07:54:00	2011-09-13	*	0	*	*	*	*	*	*	*	*	2011-09-13 07:54:00		2011-09-13 06:54:00	NaT	2011-09-13 05:54:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_065400_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_055400_d4c2A.fts	*
877	2011-09-13	13:54:00	2011-09-13	13:54:51	0	45	*	*	*	*	*	*	*	2011-09-13 13:54:00	2011-09-13 13:54:51	2011-09-13 12:54:00	2011-09-13 12:54:51	2011-09-13 11:54:00	2011-09-13 11:54:51	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110913/20110913_125400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110913/20110913_115400_d4c2B.fts
878	2011-09-13	18:54:00	2011-09-13	19:54:51	0	0	*	*	*	*	*	*	*	2011-09-13 18:54:00	2011-09-13 19:54:51	2011-09-13 17:54:00	2011-09-13 18:54:51	2011-09-13 16:54:00	2011-09-13 17:54:51	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_175400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110913/20110913_185400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110913/20110913_175400_d4c2B.fts
879	2011-09-13	23:54:00	2011-09-13	23:54:52	45	315	*	*	*	*	*	*	*	2011-09-13 23:54:00	2011-09-13 23:54:52	2011-09-13 22:54:00	2011-09-13 22:54:52	2011-09-13 21:54:00	2011-09-13 21:54:52	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110913/20110913_225400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110913/20110913_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110913/20110913_215400_d4c2B.fts
880	2011-09-14	18:54:00	2011-09-14	18:54:52	45	315	*	*	*	*	*	*	*	2011-09-14 18:54:00	2011-09-14 18:54:52	2011-09-14 17:54:00	2011-09-14 17:54:52	2011-09-14 16:54:00	2011-09-14 16:54:52	/gehme/data/stereo/secchi/L0/a/img/cor2/20110914/20110914_175400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110914/20110914_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110914/20110914_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110914/20110914_165400_d4c2B.fts
881	2011-09-14	21:54:00	2011-09-14	23:54:52	90	270	*	*	*	*	*	*	*	2011-09-14 21:54:00	2011-09-14 23:54:52	2011-09-14 20:54:00	2011-09-14 22:54:52	2011-09-14 19:54:00	2011-09-14 21:54:52	/gehme/data/stereo/secchi/L0/a/img/cor2/20110914/20110914_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110914/20110914_225400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110914/20110914_195400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110914/20110914_215400_d4c2B.fts
882	2011-09-17	00:54:00	2011-09-17	01:54:52	45	315	*	*	*	*	*	*	*	2011-09-17 00:54:00	2011-09-17 01:54:52	2011-09-16 23:54:00	2011-09-17 00:54:52	2011-09-16 22:54:00	2011-09-16 23:54:52	/gehme/data/stereo/secchi/L0/a/img/cor2/20110916/20110916_235400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110917/20110917_005400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110916/20110916_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110916/20110916_235400_d4c2B.fts
883	2011-09-18	09:54:00	2011-09-18	09:54:53	180	135	*	*	*	*	*	*	*	2011-09-18 09:54:00	2011-09-18 09:54:53	2011-09-18 08:54:00	2011-09-18 08:54:53	2011-09-18 07:54:00	2011-09-18 07:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110918/20110918_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110918/20110918_085400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110918/20110918_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110918/20110918_075400_d4c2B.fts
884	2011-09-18	14:54:00	2011-09-18	15:54:53	270	90	*	*	*	*	*	*	*	2011-09-18 14:54:00	2011-09-18 15:54:53	2011-09-18 13:54:00	2011-09-18 14:54:53	2011-09-18 12:54:00	2011-09-18 13:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110918/20110918_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110918/20110918_145400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110918/20110918_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110918/20110918_135400_d4c2B.fts
885	2011-09-19	01:54:00	2011-09-19	01:54:53	315	45	*	*	*	*	*	*	*	2011-09-19 01:54:00	2011-09-19 01:54:53	2011-09-19 00:54:00	2011-09-19 00:54:53	2011-09-18 23:54:00	2011-09-18 23:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110919/20110919_005400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110918/20110918_235400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110918/20110918_235400_d4c2B.fts
886	2011-09-19	07:54:00	2011-09-19	07:54:53	0/135	225/360	*	*	*	*	*	*	*	2011-09-19 07:54:00	2011-09-19 07:54:53	2011-09-19 06:54:00	2011-09-19 06:54:53	2011-09-19 05:54:00	2011-09-19 05:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110919/20110919_065400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110919/20110919_055400_d4c2B.fts
887	2011-09-19	10:54:00	2011-09-19	*	45	*	*	*	*	*	*	*	*	2011-09-19 10:54:00		2011-09-19 09:54:00	NaT	2011-09-19 08:54:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_095400_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_085400_d4c2A.fts	*
888	2011-09-19	23:54:00	2011-09-20	00:54:54	315	45	*	*	*	*	*	*	*	2011-09-19 23:54:00	2011-09-20 00:54:54	2011-09-19 22:54:00	2011-09-19 23:54:54	2011-09-19 21:54:00	2011-09-19 22:54:54	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_225400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110919/20110919_235400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110919/20110919_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110919/20110919_225400_d4c2B.fts
889	2011-09-21	17:54:00	2011-09-21	18:54:53	315	45	*	*	*	*	*	*	*	2011-09-21 17:54:00	2011-09-21 18:54:53	2011-09-21 16:54:00	2011-09-21 17:54:53	2011-09-21 15:54:00	2011-09-21 16:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110921/20110921_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110921/20110921_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110921/20110921_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110921/20110921_165400_d4c2B.fts
890	2011-09-21	22:54:00	2011-09-21	22:54:53	360	360	*	*	*	*	*	*	*	2011-09-21 22:54:00	2011-09-21 22:54:53	2011-09-21 21:54:00	2011-09-21 21:54:53	2011-09-21 20:54:00	2011-09-21 20:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110921/20110921_215400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110921/20110921_215400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110921/20110921_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110921/20110921_205400_d4c2B.fts
891	2011-09-22	11:54:00	2011-09-22	11:54:53	360	360	*	*	*	*	*	*	*	2011-09-22 11:54:00	2011-09-22 11:54:53	2011-09-22 10:54:00	2011-09-22 10:54:53	2011-09-22 09:54:00	2011-09-22 09:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110922/20110922_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110922/20110922_105400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110922/20110922_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110922/20110922_095400_d4c2B.fts
892	2011-09-22	20:54:00	2011-09-22	20:54:53	315	45	*	*	*	*	*	*	*	2011-09-22 20:54:00	2011-09-22 20:54:53	2011-09-22 19:54:00	2011-09-22 19:54:53	2011-09-22 18:54:00	2011-09-22 18:54:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110922/20110922_195400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110922/20110922_195400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110922/20110922_185400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110922/20110922_185400_d4c2B.fts
