no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
597	2011-01-20	12:08:15	2011-01-20	14:08:57	225	135	*	*	*	*	*	*	*	2011-01-20 12:08:15	2011-01-20 14:08:57	2011-01-20 11:08:15	2011-01-20 13:08:57	2011-01-20 10:08:15	2011-01-20 12:08:57	/gehme/data/stereo/secchi/L0/a/img/cor2/20110120/20110120_105400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110120/20110120_130800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110120/20110120_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110120/20110120_120800_d4c2B.fts
598	2011-01-21	14:08:15	2011-01-21	22:08:55	45	315	*	*	*	*	*	*	*	2011-01-21 14:08:15	2011-01-21 22:08:55	2011-01-21 13:08:15	2011-01-21 21:08:55	2011-01-21 12:08:15	2011-01-21 20:08:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20110121/20110121_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110121/20110121_205400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110121/20110121_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110121/20110121_195400_d4c2B.fts
599	2011-01-22	08:08:15	2011-01-22	11:08:55	90	270	*	*	*	*	*	*	*	2011-01-22 08:08:15	2011-01-22 11:08:55	2011-01-22 07:08:15	2011-01-22 10:08:55	2011-01-22 06:08:15	2011-01-22 09:08:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20110122/20110122_065400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110122/20110122_095400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110122/20110122_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110122/20110122_085400_d4c2B.fts
600	2011-01-22	15:08:15	2011-01-22	16:08:55	0	0	*	*	*	*	*	*	*	2011-01-22 15:08:15	2011-01-22 16:08:55	2011-01-22 14:08:15	2011-01-22 15:08:55	2011-01-22 13:08:15	2011-01-22 14:08:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20110122/20110122_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110122/20110122_145400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110122/20110122_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110122/20110122_135400_d4c2B.fts
601	2011-01-23	04:08:15	2011-01-23	04:08:55	360	360	*	*	*	*	*	*	*	2011-01-23 04:08:15	2011-01-23 04:08:55	2011-01-23 03:08:15	2011-01-23 03:08:55	2011-01-23 02:08:15	2011-01-23 02:08:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20110123/20110123_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110123/20110123_025400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110123/20110123_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110123/20110123_015400_d4c2B.fts
602	2011-01-24	00:08:15	2011-01-24	01:08:55	270	90	*	*	*	*	*	*	*	2011-01-24 00:08:15	2011-01-24 01:08:55	2011-01-23 23:08:15	2011-01-24 00:08:55	2011-01-23 22:08:15	2011-01-23 23:08:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20110123/20110123_230800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110123/20110123_235400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110123/20110123_220800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110123/20110123_225400_d4c2B.fts
603	2011-01-24	04:08:15	2011-01-24	05:08:55	90	270	*	*	*	*	*	*	*	2011-01-24 04:08:15	2011-01-24 05:08:55	2011-01-24 03:08:15	2011-01-24 04:08:55	2011-01-24 02:08:15	2011-01-24 03:08:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20110124/20110124_030800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110124/20110124_035400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110124/20110124_020800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110124/20110124_025400_d4c2B.fts
604	2011-01-25	06:08:15	2011-01-25	07:08:54	315	45	*	*	*	*	*	*	*	2011-01-25 06:08:15	2011-01-25 07:08:54	2011-01-25 05:08:15	2011-01-25 06:08:54	2011-01-25 04:08:15	2011-01-25 05:08:54	/gehme/data/stereo/secchi/L0/a/img/cor2/20110125/20110125_050800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110125/20110125_055400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110125/20110125_040800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110125/20110125_045400_d4c2B.fts
605	2011-01-25	10:08:15	2011-01-25	12:08:54	45	315	*	*	*	*	*	*	*	2011-01-25 10:08:15	2011-01-25 12:08:54	2011-01-25 09:08:15	2011-01-25 11:08:54	2011-01-25 08:08:15	2011-01-25 10:08:54	/gehme/data/stereo/secchi/L0/a/img/cor2/20110125/20110125_090800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110125/20110125_105400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110125/20110125_080800_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110125/20110125_095400_d4c2B.fts
606	2011-01-26	02:08:15	2011-01-26	03:08:54	45	315	*	*	*	*	*	*	*	2011-01-26 02:08:15	2011-01-26 03:08:54	2011-01-26 01:08:15	2011-01-26 02:08:54	2011-01-26 00:08:15	2011-01-26 01:08:54	/gehme/data/stereo/secchi/L0/a/img/cor2/20110126/20110126_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110126/20110126_015400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110125/20110125_235400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110126/20110126_005400_d4c2B.fts
607	2011-01-27	22:08:15	2011-01-27	23:08:53	315	45	*	*	*	*	*	*	*	2011-01-27 22:08:15	2011-01-27 23:08:53	2011-01-27 21:08:15	2011-01-27 22:08:53	2011-01-27 20:08:15	2011-01-27 21:08:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110127/20110127_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110127/20110127_222400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110127/20110127_195400_d4c2A.fts	No img/double data
608	2011-01-28	02:08:15	2011-01-28	02:08:53	315	45	*	*	*	*	*	*	*	2011-01-28 02:08:15	2011-01-28 02:08:53	2011-01-28 01:08:15	2011-01-28 01:08:53	2011-01-28 00:08:15	2011-01-28 00:08:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110128/20110128_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110128/20110128_005400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110127/20110127_235400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110127/20110127_235400_d4c2B.fts
609	2011-01-29	03:08:15	2011-01-29	03:08:53	315	45	*	*	*	*	*	*	*	2011-01-29 03:08:15	2011-01-29 03:08:53	2011-01-29 02:08:15	2011-01-29 02:08:53	2011-01-29 01:08:15	2011-01-29 01:08:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110129/20110129_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110129/20110129_020800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110129/20110129_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110129/20110129_005400_d4c2B.fts
610	2011-01-29	10:08:15	2011-01-29	11:08:53	270	90	*	*	*	*	*	*	*	2011-01-29 10:08:15	2011-01-29 11:08:53	2011-01-29 09:08:15	2011-01-29 10:08:53	2011-01-29 08:08:15	2011-01-29 09:08:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110129/20110129_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110129/20110129_100800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110129/20110129_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110129/20110129_090800_d4c2B.fts
611	2011-01-29	14:08:15	2011-01-29	15:08:53	90/315	270/45	*	*	*	*	*	*	*	2011-01-29 14:08:15	2011-01-29 15:08:53	2011-01-29 13:08:15	2011-01-29 14:08:53	2011-01-29 12:08:15	2011-01-29 13:08:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110129/20110129_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110129/20110129_140800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110129/20110129_115400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110129/20110129_130800_d4c2B.fts
612	2011-01-30	10:08:15	2011-01-30	10:08:53	135/45	225/315	*	*	*	*	*	*	*	2011-01-30 10:08:15	2011-01-30 10:08:53	2011-01-30 09:08:15	2011-01-30 09:08:53	2011-01-30 08:08:15	2011-01-30 08:08:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20110130/20110130_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110130/20110130_090800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110130/20110130_075400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110130/20110130_080800_d4c2B.fts
613	2011-01-31	17:08:15	2011-01-31	18:08:52	315	45	*	*	*	*	*	*	*	2011-01-31 17:08:15	2011-01-31 18:08:52	2011-01-31 16:08:15	2011-01-31 17:08:52	2011-01-31 15:08:15	2011-01-31 16:08:52	/gehme/data/stereo/secchi/L0/a/img/cor2/20110131/20110131_155400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110131/20110131_170800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110131/20110131_145400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110131/20110131_160800_d4c2B.fts
