no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
685	2011-04-08	23:08:15	2011-04-09	01:08:37	90	270	*	*	*	*	*	*	*	2011-04-08 23:08:15	2011-04-09 01:08:37	2011-04-08 22:08:15	2011-04-09 00:08:37	2011-04-08 21:08:15	2011-04-08 23:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110408/c2/22367921.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110409/c2/22367930.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110408/c2/22367917.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110408/c2/22367924.fts"
686	2011-04-10	08:08:15	2011-04-10	08:08:37	0	0	*	*	*	*	*	*	*	2011-04-10 08:08:15	2011-04-10 08:08:37	2011-04-10 07:08:15	2011-04-10 07:08:37	2011-04-10 06:08:15	2011-04-10 06:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368089.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368089.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368084.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368084.fts"
687	2011-04-10	09:08:15	2011-04-10	09:08:37	45	315	*	*	*	*	*	*	*	2011-04-10 09:08:15	2011-04-10 09:08:37	2011-04-10 08:08:15	2011-04-10 08:08:37	2011-04-10 07:08:15	2011-04-10 07:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368094.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368094.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368089.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368089.fts"
688	2011-04-10	23:08:15	2011-04-10	23:08:37	45	315	*	*	*	*	*	*	*	2011-04-10 23:08:15	2011-04-10 23:08:37	2011-04-10 22:08:15	2011-04-10 22:08:37	2011-04-10 21:08:15	2011-04-10 21:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368169.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368169.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368165.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110410/c2/22368165.fts"
689	2011-04-12	01:08:15	2011-04-12	01:08:37	45	315	*	*	*	*	*	*	*	2011-04-12 01:08:15	2011-04-12 01:08:37	2011-04-12 00:08:15	2011-04-12 00:08:37	2011-04-11 23:08:15	2011-04-11 23:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110412/c2/22368299.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110412/c2/22368299.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110411/c2/22368293.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110411/c2/22368293.fts"
690	2011-04-13	18:08:15	2011-04-13	20:08:37	225	135	*	*	*	*	*	*	*	2011-04-13 18:08:15	2011-04-13 20:08:37	2011-04-13 17:08:15	2011-04-13 19:08:37	2011-04-13 16:08:15	2011-04-13 18:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368511.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368521.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368506.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368516.fts"
691	2011-04-13	22:08:15	2011-04-13	22:08:37	270	90	*	*	*	*	*	*	*	2011-04-13 22:08:15	2011-04-13 22:08:37	2011-04-13 21:08:15	2011-04-13 21:08:37	2011-04-13 20:08:15	2011-04-13 20:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368535.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368535.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368526.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110413/c2/22368526.fts"
692	2011-04-14	06:08:15	2011-04-14	07:08:37	315/45	45	*	*	*	*	*	*	*	2011-04-14 06:08:15	2011-04-14 07:08:37	2011-04-14 05:08:15	2011-04-14 06:08:37	2011-04-14 04:08:15	2011-04-14 05:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368573.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368578.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368568.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368573.fts"
693	2011-04-14	09:08:15	2011-04-14	09:08:37	315	45	*	*	*	*	*	*	*	2011-04-14 09:08:15	2011-04-14 09:08:37	2011-04-14 08:08:15	2011-04-14 08:08:37	2011-04-14 07:08:15	2011-04-14 07:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368588.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368588.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368583.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110414/c2/22368583.fts"
694	2011-04-15	02:08:15	2011-04-15	02:08:37	90	270	*	*	*	*	*	*	*	2011-04-15 02:08:15	2011-04-15 02:08:37	2011-04-15 01:08:15	2011-04-15 01:08:37	2011-04-15 00:08:15	2011-04-15 00:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110415/c2/22368670.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110415/c2/22368670.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110415/c2/22368666.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110415/c2/22368666.fts"
695	2011-04-16	05:08:15	2011-04-16	05:08:37	225/45	315/135	*	*	*	*	*	*	*	2011-04-16 05:08:15	2011-04-16 05:08:37	2011-04-16 04:08:15	2011-04-16 04:08:37	2011-04-16 03:08:15	2011-04-16 03:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110416/c2/22368808.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110416/c2/22368808.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110416/c2/22368803.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110416/c2/22368803.fts"
696	2011-04-17	02:08:15	2011-04-17	02:08:37	45	315	*	*	*	*	*	*	*	2011-04-17 02:08:15	2011-04-17 02:08:37	2011-04-17 01:08:15	2011-04-17 01:08:37	2011-04-17 00:08:15	2011-04-17 00:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368916.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368916.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368912.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368912.fts"
697	2011-04-17	16:08:15	2011-04-17	16:08:36	270	90	*	*	*	*	*	*	*	2011-04-17 16:08:15	2011-04-17 16:08:36	2011-04-17 15:08:15	2011-04-17 15:08:36	2011-04-17 14:08:15	2011-04-17 14:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368988.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368988.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368981.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110417/c2/22368981.fts"
698	2011-04-20	00:08:15	2011-04-20	00:08:36	45	315	*	*	*	*	*	*	*	2011-04-20 00:08:15	2011-04-20 00:08:36	2011-04-19 23:08:15	2011-04-19 23:08:36	2011-04-19 22:08:15	2011-04-19 22:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110419/c2/22369273.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110419/c2/22369273.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110419/c2/22369270.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110419/c2/22369270.fts"
699	2011-04-20	06:08:15	2011-04-20	07:08:36	315	45	*	*	*	*	*	*	*	2011-04-20 06:08:15	2011-04-20 07:08:36	2011-04-20 05:08:15	2011-04-20 06:08:36	2011-04-20 04:08:15	2011-04-20 05:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110420/c2/22369303.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110420/c2/22369308.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110420/c2/22369298.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110420/c2/22369303.fts"
700	2011-04-21	02:08:15	2011-04-21	02:08:37	315	45	*	*	*	*	*	*	*	2011-04-21 02:08:15	2011-04-21 02:08:37	2011-04-21 01:08:15	2011-04-21 01:08:37	2011-04-21 00:08:15	2011-04-21 00:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110421/c2/22369405.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110421/c2/22369405.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110421/c2/22369401.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110421/c2/22369401.fts"
701	2011-04-22	07:08:15	2011-04-22	07:08:36	315	45	*	*	*	*	*	*	*	2011-04-22 07:08:15	2011-04-22 07:08:36	2011-04-22 06:08:15	2011-04-22 06:08:36	2011-04-22 05:08:15	2011-04-22 05:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110422/c2/22369533.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110422/c2/22369533.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110422/c2/22369525.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110422/c2/22369525.fts"
702	2011-04-22	11:08:15	2011-04-22	*	45	*	*	*	*	*	*	*	*	2011-04-22 11:08:15		2011-04-22 10:08:15	NaT	2011-04-22 09:08:15	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110422/c2/22369553.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110422/c2/22369549.fts"	*
703	2011-04-24	20:08:15	2011-04-24	20:08:36	315	45	*	*	*	*	*	*	*	2011-04-24 20:08:15	2011-04-24 20:08:36	2011-04-24 19:08:15	2011-04-24 19:08:36	2011-04-24 18:08:15	2011-04-24 18:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110424/c2/22369807.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110424/c2/22369807.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110424/c2/22369802.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110424/c2/22369802.fts"
704	2011-04-25	21:08:15	2011-04-25	22:08:36	270	90	*	*	*	*	*	*	*	2011-04-25 21:08:15	2011-04-25 22:08:36	2011-04-25 20:08:15	2011-04-25 21:08:36	2011-04-25 19:08:15	2011-04-25 20:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110425/c2/22369934.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110425/c2/22369943.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110425/c2/22369929.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110425/c2/22369934.fts"
705	2011-04-27	03:08:15	2011-04-27	03:08:36	45	315	*	*	*	*	*	*	*	2011-04-27 03:08:15	2011-04-27 03:08:36	2011-04-27 02:08:15	2011-04-27 02:08:36	2011-04-27 01:08:15	2011-04-27 01:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370089.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370089.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370085.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370085.fts"
706	2011-04-27	08:08:15	2011-04-27	08:08:36	315	45	*	*	*	*	*	*	*	2011-04-27 08:08:15	2011-04-27 08:08:36	2011-04-27 07:08:15	2011-04-27 07:08:36	2011-04-27 06:08:15	2011-04-27 06:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370116.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370116.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370111.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370111.fts"
707	2011-04-27	18:08:15	2011-04-27	19:08:36	315	45	*	*	*	*	*	*	*	2011-04-27 18:08:15	2011-04-27 19:08:36	2011-04-27 17:08:15	2011-04-27 18:08:36	2011-04-27 16:08:15	2011-04-27 17:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370168.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370173.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370163.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370168.fts"
708	2011-04-28	00:08:15	2011-04-28	01:08:36	315	45	*	*	*	*	*	*	*	2011-04-28 00:08:15	2011-04-28 01:08:36	2011-04-27 23:08:15	2011-04-28 00:08:36	2011-04-27 22:08:15	2011-04-27 23:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370199.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110428/c2/22370205.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370196.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110427/c2/22370199.fts"
709	2011-04-28	18:08:15	2011-04-28	18:08:36	45	315	*	*	*	*	*	*	*	2011-04-28 18:08:15	2011-04-28 18:08:36	2011-04-28 17:08:15	2011-04-28 17:08:36	2011-04-28 16:08:15	2011-04-28 16:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110428/c2/22370292.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110428/c2/22370292.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110428/c2/22370287.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110428/c2/22370287.fts"
710	2011-04-30	08:08:15	2011-04-30	08:08:36	315	45	*	*	*	*	*	*	*	2011-04-30 08:08:15	2011-04-30 08:08:36	2011-04-30 07:08:15	2011-04-30 07:08:36	2011-04-30 06:08:15	2011-04-30 06:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110430/c2/22370484.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110430/c2/22370484.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110430/c2/22370479.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110430/c2/22370479.fts"
711	2011-05-01	17:08:15	2011-05-01	17:08:36	45	315	*	*	*	*	*	*	*	2011-05-01 17:08:15	2011-05-01 17:08:36	2011-05-01 16:08:15	2011-05-01 16:08:36	2011-05-01 15:08:15	2011-05-01 15:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110501/c2/22370655.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110501/c2/22370655.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110501/c2/22370650.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110501/c2/22370650.fts"
712	2011-05-02	19:08:15	2011-05-02	19:08:36	90	270	*	*	*	*	*	*	*	2011-05-02 19:08:15	2011-05-02 19:08:36	2011-05-02 18:08:15	2011-05-02 18:08:36	2011-05-02 17:08:15	2011-05-02 17:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110502/c2/22370786.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110502/c2/22370786.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110502/c2/22370781.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110502/c2/22370781.fts"
713	2011-05-03	17:08:15	2011-05-03	18:08:36	90	270	*	*	*	*	*	*	*	2011-05-03 17:08:15	2011-05-03 18:08:36	2011-05-03 16:08:15	2011-05-03 17:08:36	2011-05-03 15:08:15	2011-05-03 16:08:36	No data	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110503/c2/22370885.fts"	No data	No data
714	2011-05-03	22:08:15	2011-05-03	23:08:36	90	270	*	*	*	*	*	*	*	2011-05-03 22:08:15	2011-05-03 23:08:36	2011-05-03 21:08:15	2011-05-03 22:08:36	2011-05-03 20:08:15	2011-05-03 21:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110503/c2/22370904.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110503/c2/22370908.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110503/c2/22370895.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110503/c2/22370904.fts"
715	2011-05-04	18:08:15	2011-05-04	22:08:36	45	315	*	*	*	*	*	*	*	2011-05-04 18:08:15	2011-05-04 22:08:36	2011-05-04 17:08:15	2011-05-04 21:08:36	2011-05-04 16:08:15	2011-05-04 20:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110504/c2/22371004.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110504/c2/22371028.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110504/c2/22370999.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110504/c2/22371019.fts"
716	2011-05-06	10:08:15	2011-05-06	10:08:36	270/90	270/90	*	*	*	*	*	*	*	2011-05-06 10:08:15	2011-05-06 10:08:36	2011-05-06 09:08:15	2011-05-06 09:08:36	2011-05-06 08:08:15	2011-05-06 08:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110506/c2/22371209.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110506/c2/22371209.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110506/c2/22371202.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110506/c2/22371202.fts"
717	2011-05-07	14:08:15	2011-05-07	15:08:36	270	90	*	*	*	*	*	*	*	2011-05-07 14:08:15	2011-05-07 15:08:36	2011-05-07 13:08:15	2011-05-07 14:08:36	2011-05-07 12:08:15	2011-05-07 13:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110507/c2/22371352.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110507/c2/22371356.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110507/c2/22371348.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110507/c2/22371352.fts"
718	2011-05-09	01:08:15	2011-05-09	01:08:36	315	45	*	*	*	*	*	*	*	2011-05-09 01:08:15	2011-05-09 01:08:36	2011-05-09 00:08:15	2011-05-09 00:08:36	2011-05-08 23:08:15	2011-05-08 23:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371534.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371534.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110508/c2/22371528.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110508/c2/22371528.fts"
719	2011-05-09	16:08:15	2011-05-09	16:08:36	315	45	*	*	*	*	*	*	*	2011-05-09 16:08:15	2011-05-09 16:08:36	2011-05-09 15:08:15	2011-05-09 15:08:36	2011-05-09 14:08:15	2011-05-09 14:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371610.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371610.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371603.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371603.fts"
720	2011-05-09	22:08:15	2011-05-09	22:08:36	225/90	270/135	*	*	*	*	*	*	*	2011-05-09 22:08:15	2011-05-09 22:08:36	2011-05-09 21:08:15	2011-05-09 21:08:36	2011-05-09 20:08:15	2011-05-09 20:08:36	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371644.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371644.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371635.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110509/c2/22371635.fts"
721	2011-05-11	04:08:15	2011-05-11	04:08:37	90	270	*	*	*	*	*	*	*	2011-05-11 04:08:15	2011-05-11 04:08:37	2011-05-11 03:08:15	2011-05-11 03:08:37	2011-05-11 02:08:15	2011-05-11 02:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110511/c2/22371797.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110511/c2/22371797.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110511/c2/22371790.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110511/c2/22371790.fts"
722	2011-05-12	03:08:15	2011-05-12	03:08:37	225	135	*	*	*	*	*	*	*	2011-05-12 03:08:15	2011-05-12 03:08:37	2011-05-12 02:08:15	2011-05-12 02:08:37	2011-05-12 01:08:15	2011-05-12 01:08:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110512/c2/22371914.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110512/c2/22371914.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110512/c2/22371910.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110512/c2/22371910.fts"
