HEL	CME	Pre-event		Last full visibility COR 2		GCS PARAMETER						HI-Date		FIT		HI List								
no	no	date	time	date	time	carlon	stoney	lat	tilt	Asp. Ratio	h_angle	date	time	APEX SPEED	CME-Mass	SpeedFPF	FPF		SpeedSSEF	SSEF		SpeedHMF	HMF	
-	-	yyyymmdd	hhmm	yyyymmdd	hhmm	deg	lon, old	deg	deg	-	deg		hhmm	km/s	g	km/s	LON	LAT	km/s	LON	LAT	km/s	LON	LAT
76	758	2011-06-07	06:08	2011-06-07	08:08	34	54	-14	-5	0,6	10,3	2011-06-07	08:09	1427	2,20E+16	625	29	-11	677	16	-14	730	1	-16
77	769	2011-06-12	16:08	2011-06-13	01:08	356	92	8	-44	0,7	31,6	2011-06-13	00:49	367	5,00E+16	400	57	2	415	65	4	428	73	5
78	772	2011-06-14	06:08	2011-06-14	12:08	202	-43	-1	36	0,28	57,3	2011-06-14	10:49	613	1,80E+16	1008	-25	1	1254	-49	-3	1713	-78	-7
79	777	2011-06-21	02:08	2011-06-21	05:08	149	-7	13	-9	0,32	26,6	2011-06-21	04:09	1110	5,20E+15	1229	-21	6	1512	-44	1	1970	-71	-4
80	821	2011-08-03	12:54	2011-08-03	15:30	324	23	24	-40	0,52	19,8	2011-08-03	15:29	1273	4,00E+15	1201	11	16	1386	32	15	1658	55	12
81	822	2011-08-04	03:54	2011-08-04	04:54	329	35	22	60	0,79	62,9	2011-08-04	04:49	1784	1,20E+16	1435	-14	32	1787	-39	23	2457	-65	7
82	831	2011-08-11	10:54	2011-08-11	12:54	262	65	2	50	0,23	21	2011-08-11	13:29	1017	3,00E+16	721	30	-34	765	28	-29	816	26	-23
83	851	2011-09-02	03:54	2011-09-02	15:55	127	-138	-33	23	0,56	9,5	2011-09-02	15:29	265	4,10E+15	361	-45	-5	367	-47	-5	370	-50	-5
84	861	2011-09-06	20:00	2011-09-07	01:36	246	40	34	27	0,42	35,5	2011-09-07	01:29	623	8,40E+15	569	15	29	674	38	23	839	62	13
85	867	2011-09-07	22:54	2011-09-08	01:54	227	34	32	3	0,45	15,9	2011-09-08	00:09	699	5,00E+15	580	47	24	590	51	23	598	55	21
86	871	2011-09-09	05:54	2011-09-09	12:54	201	27	-3	16	0,37	19,3	2011-09-09	12:49	307	2,70E+15	396	39	-1	399	39	-1	401	39	-1
87	873	2011-09-10	02:54	2011-09-10	06:54	179	15	48	-40	0,48	10,9	2011-09-10	06:49	635	3,60E+15	552	30	38	571	18	40	589	6	40
