S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
B,2648.6104_0B,1/25/14,2:39:00,-999,-999,-999,-999,-999,-999,2648.5792_0A,F,155, SB ; OFL ; CS
A,2648.6208_0A,1/25/14,2:54:00,-999,-999,-999,-999,-999,-999,2648.6625_0B,JO,151, FF
B,2648.6625_0B,1/25/14,3:54:00,-999,-999,-999,-999,-999,-999,2648.6208_0A,O,155, FF
A,2648.8806_0A,1/25/14,9:08:00,-999,-999,-999,-999,-999,-999,2649.0167_0B,F,151, CS ; SB 
B,2649.0167_0B,1/25/14,12:24:00,-999,-999,-999,-999,-999,-999,2648.8806_0A,O,155, SB ; CS ; faint
A,2649.1938_0Ac,1/25/14,17:08:00,220,60,1101,-258,766,-98,2649.2042_0B,OSP,151, OVR
B,2649.2042_0B,1/25/14,16:54:00,-999,-999,-999,-999,-999,-999,2649.1938_0Ac,OS,155,NULL
A,2649.4021_0Ac,1/25/14,22:24:00,228,51,478,-163,146,-76,2649.4438_0B,OP,151, OVR
B,2649.4438_0B,1/25/14,22:39:00,-999,-999,-999,-999,-999,-999,2649.4021_0Ac,OSP,155, OVR
A,2649.8604_0A,1/26/14,8:39:00,-999,-999,-999,-999,-999,-999,2649.8708_0B,OSP,151, OVR ; SUR
B,2649.8708_0B,1/26/14,8:54:00,-999,-999,-999,-999,-999,-999,2649.8604_0A,OSP,156, OVR
A,2650.2458_0A,1/26/14,17:54:00,-999,-999,-999,-999,-999,-999,2650.2771_0B,O,151, OVR ; FF?
B,2650.2771_0B,1/26/14,18:39:00,-999,-999,-999,-999,-999,-999,2650.2458_0A,O,156, OVR ; FF?
A,2650.4125_0Ac,1/26/14,22:24:00,217,63,686,0,478,-218,2650.4438_0B,F,151, 3P? ; DPL ; Ha ; OVR
B,2650.4438_0B,1/26/14,22:39:00,-999,-999,-999,-999,-999,-999,2650.4125_0Ac,F,156, 3P ; DPL ; Ha ; OVR
A,2650.4958_0A,1/26/14,23:54:00,-999,-999,-999,-999,-999,-999,2650.5271_0B,UP,151, OVR 
B,2650.5271_0B,1/27/14,0:39:00,-999,-999,-999,-999,-999,-999,2650.4958_0A,FP,156, 3P ; OVR ; DPL
A,2650.6000_0A,1/27/14,2:24:00,-999,-999,-999,-999,-999,-999,2650.6000_0B,WP,151, OVR ; FF?
B,2650.6000_0B,1/27/14,2:24:00,-999,-999,-999,-999,-999,-999,2650.6000_0A,WP,156, OVR ; FF?
A,2651.0375_0A,1/27/14,12:54:00,-999,-999,-999,-999,-999,-999,2651.0167_0B,O,151, faint ; FF
B,2651.0167_0B,1/27/14,12:24:00,-999,-999,-999,-999,-999,-999,2651.0375_0A,O,156, FF
A,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2651.5688_0B,Z,151, FF
B,2651.5688_0B,1/28/14,1:39:00,-999,-999,-999,-999,-999,-999,NULL,J,156, OVR
A,2651.8500_0A,1/28/14,8:24:00,-999,-999,-999,-999,-999,-999,2651.7771_0B,U,151, FF
B,2651.7771_0B,1/28/14,6:39:00,-999,-999,-999,-999,-999,-999,2651.8500_0A,O,156, FF
A,2651.9125_0A,1/28/14,9:54:00,-999,-999,-999,-999,-999,-999,2651.9854_0B,F,151, SB ; OVR
B,2651.9854_0B,1/28/14,11:39:00,-999,-999,-999,-999,-999,-999,2651.9125_0A,F,156, OVR ; SB
A,2651.9125_1A,1/28/14,9:54:00,-999,-999,-999,-999,-999,-999,2651.9542_0B,O,151, OVR 
