no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
37	2007-05-14	16:22:30	2007-05-14	15:53:16	45	45	141.699	133.873	5.262	-2.564	5.301	2.626	7.919	2007-05-14 16:22:30	2007-05-14 15:53:16	2007-05-14 15:22:30	2007-05-14 14:53:16	2007-05-14 14:22:30	2007-05-14 13:53:16	/gehme/data/soho/lasco/level_05/c2/20070514/22254199.fts	/gehme/data/soho/lasco/level_05/c2/20070514/22254198.fts	/gehme/data/soho/lasco/level_05/c2/20070514/22254193.fts	/gehme/data/soho/lasco/level_05/c2/20070514/22254191.fts
38	2007-05-15	19:22:30	2007-05-15	20:23:17	45	45	126.649	118.661	5.356	-2.632	5.397	2.695	8.084	2007-05-15 19:22:30	2007-05-15 20:23:17	2007-05-15 18:22:30	2007-05-15 19:23:17	2007-05-15 17:22:30	2007-05-15 18:23:17	/gehme/data/soho/lasco/level_05/c2/20070515/22254289.fts	/gehme/data/soho/lasco/level_05/c2/20070515/22254290.fts	/gehme/data/soho/lasco/level_05/c2/20070515/22254286.fts	/gehme/data/soho/lasco/level_05/c2/20070515/22254289.fts
39	2007-05-20	07:52:30	2007-05-20	08:53:19	180	225	67.233	58.589	5.736	-2.908	5.785	2.976	8.753	2007-05-20 07:52:30	2007-05-20 08:53:19	2007-05-20 06:52:30	2007-05-20 07:53:19	2007-05-20 05:52:30	2007-05-20 06:53:19	/gehme/data/soho/lasco/level_05/c2/20070520/22254708.fts	/gehme/data/soho/lasco/level_05/c2/20070520/22254713.fts	/gehme/data/soho/lasco/level_05/c2/20070520/22254703.fts	/gehme/data/soho/lasco/level_05/c2/20070520/22254708.fts
40	2007-05-21	19:22:30	2007-05-21	18:53:19	90	90	48.058	39.197	5.861	-3.000	5.913	3.069	8.975	2007-05-21 19:22:30	2007-05-21 18:53:19	2007-05-21 18:22:30	2007-05-21 17:53:19	2007-05-21 17:22:30	2007-05-21 16:53:19	/gehme/data/soho/lasco/level_05/c2/20070521/22254893.fts	/gehme/data/soho/lasco/level_05/c2/20070521/22254890.fts	/gehme/data/soho/lasco/level_05/c2/20070521/22254888.fts	/gehme/data/soho/lasco/level_05/c2/20070521/22254885.fts
41	2007-05-22	16:22:30	2007-05-22	16:53:19	270	270	36.294	27.297	5.939	-3.057	5.992	3.127	9.112	2007-05-22 16:22:30	2007-05-22 16:53:19	2007-05-22 15:22:30	2007-05-22 15:53:19	2007-05-22 14:22:30	2007-05-22 14:53:19	/gehme/data/soho/lasco/level_05/c2/20070522/22254998.fts	/gehme/data/soho/lasco/level_05/c2/20070522/22254999.fts	/gehme/data/soho/lasco/level_05/c2/20070522/22254994.fts	/gehme/data/soho/lasco/level_05/c2/20070522/22254996.fts
42	2007-05-23	08:22:30	2007-05-23	08:53:20	270	270	27.532	18.435	5.997	-3.100	6.051	3.171	9.215	2007-05-23 08:22:30	2007-05-23 08:53:20	2007-05-23 07:22:30	2007-05-23 07:53:20	2007-05-23 06:22:30	2007-05-23 06:53:20	/gehme/data/soho/lasco/level_05/c2/20070523/22255076.fts	/gehme/data/soho/lasco/level_05/c2/20070523/22255078.fts	/gehme/data/soho/lasco/level_05/c2/20070523/22255071.fts	/gehme/data/soho/lasco/level_05/c2/20070523/22255073.fts
43	2007-05-23	08:22:30	2007-05-23	22:23:20	45	45	27.532	18.435	5.997	-3.100	6.051	3.171	*	2007-05-23 08:22:30	2007-05-23 22:23:20	2007-05-23 07:22:30	2007-05-23 21:23:20	2007-05-23 06:22:30	2007-05-23 20:23:20	/gehme/data/soho/lasco/level_05/c2/20070523/22255076.fts	/gehme/data/soho/lasco/level_05/c2/20070523/22255150.fts	/gehme/data/soho/lasco/level_05/c2/20070523/22255071.fts	/gehme/data/soho/lasco/level_05/c2/20070523/22255141.fts
44	2007-05-26	21:52:30	2007-05-26	21:53:21	270	270	340.714	331.066	6.313	-3.335	6.372	3.408	9.774	2007-05-26 21:52:30	2007-05-26 21:53:21	2007-05-26 20:52:30	2007-05-26 20:53:21	2007-05-26 19:52:30	2007-05-26 19:53:21	No data	No data	No data	No data
45	2007-05-30	01:22:30	2007-05-30	01:23:22	90	90	299.373	289.226	6.599	-3.549	6.662	3.625	10.281	2007-05-30 01:22:30	2007-05-30 01:23:22	2007-05-30 00:22:30	2007-05-30 00:23:22	2007-05-29 23:22:30	2007-05-29 23:23:22	No data	No data	No data	No data
46	2007-06-02	00:52:30	2007-06-02	01:53:23	90	90	260.224	249.592	6.875	-3.758	6.941	3.836	*	2007-06-02 00:52:30	2007-06-02 01:53:23	2007-06-01 23:52:30	2007-06-02 00:53:23	2007-06-01 22:52:30	2007-06-01 23:53:23	/gehme/data/soho/lasco/level_05/c2/20070601/22255452.fts	/gehme/data/soho/lasco/level_05/c2/20070602/22255455.fts	/gehme/data/soho/lasco/level_05/c2/20070601/22255450.fts	/gehme/data/soho/lasco/level_05/c2/20070601/22255452.fts
47	2007-06-02	04:22:30	2007-06-02	*	270	*	258.308	247.651	6.888	-3.768	6.955	3.846	*	2007-06-02 04:22:30		2007-06-02 03:22:30	NaT	2007-06-02 02:22:30	NaT	/gehme/data/soho/lasco/level_05/c2/20070602/22255464.fts	*	/gehme/data/soho/lasco/level_05/c2/20070602/22255458.fts	*
48	2007-06-03	10:22:30	2007-06-03	10:53:23	90	90	241.882	231.019	7.006	-3.858	7.074	3.937	11.005	2007-06-03 10:22:30	2007-06-03 10:53:23	2007-06-03 09:22:30	2007-06-03 09:53:23	2007-06-03 08:22:30	2007-06-03 08:53:23	/gehme/data/soho/lasco/level_05/c2/20070603/22255551.fts	/gehme/data/soho/lasco/level_05/c2/20070603/22255552.fts	/gehme/data/soho/lasco/level_05/c2/20070603/22255548.fts	/gehme/data/soho/lasco/level_05/c2/20070603/22255549.fts
49	2007-06-04	21:22:30	2007-06-05	03:23:24	270	270	222.719	211.612	7.143	-3.964	7.212	4.044	*	2007-06-04 21:22:30	2007-06-05 03:23:24	2007-06-04 20:22:30	2007-06-05 02:23:24	2007-06-04 19:22:30	2007-06-05 01:23:24	/gehme/data/soho/lasco/level_05/c2/20070604/22255652.fts	/gehme/data/soho/lasco/level_05/c2/20070605/22255661.fts	/gehme/data/soho/lasco/level_05/c2/20070604/22255649.fts	/gehme/data/soho/lasco/level_05/c2/20070605/22255660.fts
50	2007-06-07	20:22:30	2007-06-07	21:23:25	225	225	183.847	172.238	7.425	-4.185	7.497	4.266	11.758	2007-06-07 20:22:30	2007-06-07 21:23:25	2007-06-07 19:22:30	2007-06-07 20:23:25	2007-06-07 18:22:30	2007-06-07 19:23:25	/gehme/data/soho/lasco/level_05/c2/20070607/22255850.fts	/gehme/data/soho/lasco/level_05/c2/20070607/22255853.fts	/gehme/data/soho/lasco/level_05/c2/20070607/22255848.fts	/gehme/data/soho/lasco/level_05/c2/20070607/22255850.fts
