no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h
823	2011-08-04	06:54:00	2011-08-04	06:54:40	315	45	*	*	*	*	*	*	*	2011-08-04 06:54:00	2011-08-04 06:54:40	2011-08-04 05:54:00	2011-08-04 05:54:40	2011-08-04 04:54:00	2011-08-04 04:54:40
824	2011-08-06	12:54:00	2011-08-06	16:54:41	135	225	*	*	*	*	*	*	*	2011-08-06 12:54:00	2011-08-06 16:54:41	2011-08-06 11:54:00	2011-08-06 15:54:41	2011-08-06 10:54:00	2011-08-06 14:54:41
825	2011-08-06	23:54:00	2011-08-07	02:54:41	90	270	*	*	*	*	*	*	*	2011-08-06 23:54:00	2011-08-07 02:54:41	2011-08-06 22:54:00	2011-08-07 01:54:41	2011-08-06 21:54:00	2011-08-07 00:54:41
826	2011-08-07	11:54:00	2011-08-07	11:54:41	90	270	*	*	*	*	*	*	*	2011-08-07 11:54:00	2011-08-07 11:54:41	2011-08-07 10:54:00	2011-08-07 10:54:41	2011-08-07 09:54:00	2011-08-07 09:54:41
827	2011-08-07	15:54:00	2011-08-07	19:54:41	90	270	*	*	*	*	*	*	*	2011-08-07 15:54:00	2011-08-07 19:54:41	2011-08-07 14:54:00	2011-08-07 18:54:41	2011-08-07 13:54:00	2011-08-07 17:54:41
828	2011-08-08	04:54:00	2011-08-08	05:54:42	45	315	*	*	*	*	*	*	*	2011-08-08 04:54:00	2011-08-08 05:54:42	2011-08-08 03:54:00	2011-08-08 04:54:42	2011-08-08 02:54:00	2011-08-08 03:54:42
829	2011-08-08	18:54:00	2011-08-08	19:54:42	90	270	*	*	*	*	*	*	*	2011-08-08 18:54:00	2011-08-08 19:54:42	2011-08-08 17:54:00	2011-08-08 18:54:42	2011-08-08 16:54:00	2011-08-08 17:54:42
830	2011-08-09	08:54:00	2011-08-09	08:52:27	90	270	*	*	*	*	*	*	*	2011-08-09 08:54:00	2011-08-09 08:52:27	2011-08-09 07:54:00	2011-08-09 07:52:27	2011-08-09 06:54:00	2011-08-09 06:52:27
831	2011-08-11	11:54:00	2011-08-11	11:54:43	45/90	270/315	*	*	*	*	*	*	*	2011-08-11 11:54:00	2011-08-11 11:54:43	2011-08-11 10:54:00	2011-08-11 10:54:43	2011-08-11 09:54:00	2011-08-11 09:54:43
832	2011-08-12	08:54:00	2011-08-12	08:54:43	45	315	*	*	*	*	*	*	*	2011-08-12 08:54:00	2011-08-12 08:54:43	2011-08-12 07:54:00	2011-08-12 07:54:43	2011-08-12 06:54:00	2011-08-12 06:54:43
833	2011-08-12	13:54:00	2011-08-12	13:54:43	315	45	*	*	*	*	*	*	*	2011-08-12 13:54:00	2011-08-12 13:54:43	2011-08-12 12:54:00	2011-08-12 12:54:43	2011-08-12 11:54:00	2011-08-12 11:54:43
834	2011-08-13	10:54:00	2011-08-13	10:54:43	315	45	*	*	*	*	*	*	*	2011-08-13 10:54:00	2011-08-13 10:54:43	2011-08-13 09:54:00	2011-08-13 09:54:43	2011-08-13 08:54:00	2011-08-13 08:54:43
835	2011-08-14	08:54:00	2011-08-14	08:54:43	270	90	*	*	*	*	*	*	*	2011-08-14 08:54:00	2011-08-14 08:54:43	2011-08-14 07:54:00	2011-08-14 07:54:43	2011-08-14 06:54:00	2011-08-14 06:54:43
836	2011-08-16	08:54:00	2011-08-16	08:54:44	270	90	*	*	*	*	*	*	*	2011-08-16 08:54:00	2011-08-16 08:54:44	2011-08-16 07:54:00	2011-08-16 07:54:44	2011-08-16 06:54:00	2011-08-16 06:54:44
837	2011-08-16	11:54:00	2011-08-16	11:54:44	0	0	*	*	*	*	*	*	*	2011-08-16 11:54:00	2011-08-16 11:54:44	2011-08-16 10:54:00	2011-08-16 10:54:44	2011-08-16 09:54:00	2011-08-16 09:54:44
838	2011-08-17	03:54:00	2011-08-17	04:54:44	360	360	*	*	*	*	*	*	*	2011-08-17 03:54:00	2011-08-17 04:54:44	2011-08-17 02:54:00	2011-08-17 03:54:44	2011-08-17 01:54:00	2011-08-17 02:54:44
839	2011-08-18	15:54:00	2011-08-18	15:54:45	315	90	*	*	*	*	*	*	*	2011-08-18 15:54:00	2011-08-18 15:54:45	2011-08-18 14:54:00	2011-08-18 14:54:45	2011-08-18 13:54:00	2011-08-18 13:54:45
840	2011-08-21	00:54:00	2011-08-20	23:54:45	135	225	*	*	*	*	*	*	*	2011-08-21 00:54:00	2011-08-20 23:54:45	2011-08-20 23:54:00	2011-08-20 22:54:45	2011-08-20 22:54:00	2011-08-20 21:54:45
841	2011-08-24	00:54:00	2011-08-24	00:54:46	270	90	*	*	*	*	*	*	*	2011-08-24 00:54:00	2011-08-24 00:54:46	2011-08-23 23:54:00	2011-08-23 23:54:46	2011-08-23 22:54:00	2011-08-23 22:54:46
842	2011-08-24	14:54:00	2011-08-24	15:54:46	225	135	*	*	*	*	*	*	*	2011-08-24 14:54:00	2011-08-24 15:54:46	2011-08-24 13:54:00	2011-08-24 14:54:46	2011-08-24 12:54:00	2011-08-24 13:54:46
843	2011-08-25	20:54:00	2011-08-25	20:54:47	90	270	*	*	*	*	*	*	*	2011-08-25 20:54:00	2011-08-25 20:54:47	2011-08-25 19:54:00	2011-08-25 19:54:47	2011-08-25 18:54:00	2011-08-25 18:54:47
844	2011-08-27	15:54:00	2011-08-27	15:54:47	315	45	*	*	*	*	*	*	*	2011-08-27 15:54:00	2011-08-27 15:54:47	2011-08-27 14:54:00	2011-08-27 14:54:47	2011-08-27 13:54:00	2011-08-27 13:54:47
845	2011-08-28	07:54:00	2011-08-28	07:54:47	315	45	*	*	*	*	*	*	*	2011-08-28 07:54:00	2011-08-28 07:54:47	2011-08-28 06:54:00	2011-08-28 06:54:47	2011-08-28 05:54:00	2011-08-28 05:54:47
846	2011-08-28	14:54:00	2011-08-28	14:54:47	315	45	*	*	*	*	*	*	*	2011-08-28 14:54:00	2011-08-28 14:54:47	2011-08-28 13:54:00	2011-08-28 13:54:47	2011-08-28 12:54:00	2011-08-28 12:54:47
847	2011-08-29	16:54:00	2011-08-29	16:54:48	315	45	*	*	*	*	*	*	*	2011-08-29 16:54:00	2011-08-29 16:54:48	2011-08-29 15:54:00	2011-08-29 15:54:48	2011-08-29 14:54:00	2011-08-29 14:54:48
848	2011-08-30	14:54:00	2011-08-30	14:54:48	315	45	*	*	*	*	*	*	*	2011-08-30 14:54:00	2011-08-30 14:54:48	2011-08-30 13:54:00	2011-08-30 13:54:48	2011-08-30 12:54:00	2011-08-30 12:54:48
849	2011-08-31	17:54:00	2011-09-01	02:54:48	45	315	*	*	*	*	*	*	*	2011-08-31 17:54:00	2011-09-01 02:54:48	2011-08-31 16:54:00	2011-09-01 01:54:48	2011-08-31 15:54:00	2011-09-01 00:54:48
850	2011-09-01	12:54:00	2011-09-01	13:54:48	315	45	*	*	*	*	*	*	*	2011-09-01 12:54:00	2011-09-01 13:54:48	2011-09-01 11:54:00	2011-09-01 12:54:48	2011-09-01 10:54:00	2011-09-01 11:54:48
851	2011-09-02	07:54:00	2011-09-02	10:54:49	225/90	135/270	*	*	*	*	*	*	*	2011-09-02 07:54:00	2011-09-02 10:54:49	2011-09-02 06:54:00	2011-09-02 09:54:49	2011-09-02 05:54:00	2011-09-02 08:54:49
852	2011-09-02	23:54:00	2011-09-02	23:54:49	315	45	*	*	*	*	*	*	*	2011-09-02 23:54:00	2011-09-02 23:54:49	2011-09-02 22:54:00	2011-09-02 22:54:49	2011-09-02 21:54:00	2011-09-02 21:54:49
853	2011-09-03	14:54:00	2011-09-03	14:54:49	270	90	*	*	*	*	*	*	*	2011-09-03 14:54:00	2011-09-03 14:54:49	2011-09-03 13:54:00	2011-09-03 13:54:49	2011-09-03 12:54:00	2011-09-03 12:54:49
854	2011-09-03	17:54:00	2011-09-03	18:54:49	270	90	*	*	*	*	*	*	*	2011-09-03 17:54:00	2011-09-03 18:54:49	2011-09-03 16:54:00	2011-09-03 17:54:49	2011-09-03 15:54:00	2011-09-03 16:54:49
855	2011-09-05	02:54:00	2011-09-05	02:54:49	360	360	*	*	*	*	*	*	*	2011-09-05 02:54:00	2011-09-05 02:54:49	2011-09-05 01:54:00	2011-09-05 01:54:49	2011-09-05 00:54:00	2011-09-05 00:54:49
856	2011-09-05	12:54:00	2011-09-05	12:54:49	225	135	*	*	*	*	*	*	*	2011-09-05 12:54:00	2011-09-05 12:54:49	2011-09-05 11:54:00	2011-09-05 11:54:49	2011-09-05 10:54:00	2011-09-05 10:54:49
857	2011-09-06	02:54:00	2011-09-06	02:54:50	45	315	*	*	*	*	*	*	*	2011-09-06 02:54:00	2011-09-06 02:54:50	2011-09-06 01:54:00	2011-09-06 01:54:50	2011-09-06 00:54:00	2011-09-06 00:54:50
858	2011-09-06	05:54:00	2011-09-06	05:54:50	315	45	*	*	*	*	*	*	*	2011-09-06 05:54:00	2011-09-06 05:54:50	2011-09-06 04:54:00	2011-09-06 04:54:50	2011-09-06 03:54:00	2011-09-06 03:54:50
859	2011-09-06	11:54:00	2011-09-06	12:54:50	180	135	*	*	*	*	*	*	*	2011-09-06 11:54:00	2011-09-06 12:54:50	2011-09-06 10:54:00	2011-09-06 11:54:50	2011-09-06 09:54:00	2011-09-06 10:54:50
860	2011-09-06	18:54:00	2011-09-06	19:54:50	0	45	*	*	*	*	*	*	*	2011-09-06 18:54:00	2011-09-06 19:54:50	2011-09-06 17:54:00	2011-09-06 18:54:50	2011-09-06 16:54:00	2011-09-06 17:54:50
861	2011-09-06	22:54:00	2011-09-06	22:54:50	45	315	*	*	*	*	*	*	*	2011-09-06 22:54:00	2011-09-06 22:54:50	2011-09-06 21:54:00	2011-09-06 21:54:50	2011-09-06 20:54:00	2011-09-06 20:54:50
862	2011-09-07	02:54:00	2011-09-07	02:54:50	315	45	*	*	*	*	*	*	*	2011-09-07 02:54:00	2011-09-07 02:54:50	2011-09-07 01:54:00	2011-09-07 01:54:50	2011-09-07 00:54:00	2011-09-07 00:54:50
863	2011-09-07	06:54:00	2011-09-07	06:54:50	315/270	45/90	*	*	*	*	*	*	*	2011-09-07 06:54:00	2011-09-07 06:54:50	2011-09-07 05:54:00	2011-09-07 05:54:50	2011-09-07 04:54:00	2011-09-07 04:54:50
864	2011-09-07	13:54:00	2011-09-07	13:54:50	315	45	*	*	*	*	*	*	*	2011-09-07 13:54:00	2011-09-07 13:54:50	2011-09-07 12:54:00	2011-09-07 12:54:50	2011-09-07 11:54:00	2011-09-07 11:54:50
865	2011-09-07	18:54:00	2011-09-07	19:54:50	270	90	*	*	*	*	*	*	*	2011-09-07 18:54:00	2011-09-07 19:54:50	2011-09-07 17:54:00	2011-09-07 18:54:50	2011-09-07 16:54:00	2011-09-07 17:54:50
866	2011-09-07	20:54:00	2011-09-07	21:54:50	0	45	*	*	*	*	*	*	*	2011-09-07 20:54:00	2011-09-07 21:54:50	2011-09-07 19:54:00	2011-09-07 20:54:50	2011-09-07 18:54:00	2011-09-07 19:54:50
867	2011-09-07	23:54:00	2011-09-07	23:54:50	45	315	*	*	*	*	*	*	*	2011-09-07 23:54:00	2011-09-07 23:54:50	2011-09-07 22:54:00	2011-09-07 22:54:50	2011-09-07 21:54:00	2011-09-07 21:54:50
868	2011-09-08	04:54:00	2011-09-08	04:54:50	135	225	*	*	*	*	*	*	*	2011-09-08 04:54:00	2011-09-08 04:54:50	2011-09-08 03:54:00	2011-09-08 03:54:50	2011-09-08 02:54:00	2011-09-08 02:54:50
869	2011-09-08	06:54:00	2011-09-08	07:54:50	45	315	*	*	*	*	*	*	*	2011-09-08 06:54:00	2011-09-08 07:54:50	2011-09-08 05:54:00	2011-09-08 06:54:50	2011-09-08 04:54:00	2011-09-08 05:54:50
870	2011-09-08	22:54:00	2011-09-08	22:54:50	315	45	*	*	*	*	*	*	*	2011-09-08 22:54:00	2011-09-08 22:54:50	2011-09-08 21:54:00	2011-09-08 21:54:50	2011-09-08 20:54:00	2011-09-08 20:54:50
871a	2011-09-09	07:54:00	2011-09-09	09:54:50	90/45	270/315	*	*	*	*	*	*	*	2011-09-09 07:54:00	2011-09-09 09:54:50	2011-09-09 06:54:00	2011-09-09 08:54:50	2011-09-09 05:54:00	2011-09-09 07:54:50
871b	2011-09-09	*	2011-09-09	*	*	*	*	*	*	*	*	*	*						
872	2011-09-09	17:54:00	2011-09-09	17:54:51	270	90	*	*	*	*	*	*	*	2011-09-09 17:54:00	2011-09-09 17:54:51	2011-09-09 16:54:00	2011-09-09 16:54:51	2011-09-09 15:54:00	2011-09-09 15:54:51
873	2011-09-10	03:54:00	2011-09-10	03:54:51	45	315	*	*	*	*	*	*	*	2011-09-10 03:54:00	2011-09-10 03:54:51	2011-09-10 02:54:00	2011-09-10 02:54:51	2011-09-10 01:54:00	2011-09-10 01:54:51
874	2011-09-10	10:54:00	2011-09-10	11:54:51	90	270	*	*	*	*	*	*	*	2011-09-10 10:54:00	2011-09-10 11:54:51	2011-09-10 09:54:00	2011-09-10 10:54:51	2011-09-10 08:54:00	2011-09-10 09:54:51
875	2011-09-11	09:54:00	2011-09-11	11:54:51	270	45	*	*	*	*	*	*	*	2011-09-11 09:54:00	2011-09-11 11:54:51	2011-09-11 08:54:00	2011-09-11 10:54:51	2011-09-11 07:54:00	2011-09-11 09:54:51
876	2011-09-13	07:54:00	2011-09-13	*	0	*	*	*	*	*	*	*	*	2011-09-13 07:54:00		2011-09-13 06:54:00		2011-09-13 05:54:00	
877	2011-09-13	13:54:00	2011-09-13	13:54:51	0	45	*	*	*	*	*	*	*	2011-09-13 13:54:00	2011-09-13 13:54:51	2011-09-13 12:54:00	2011-09-13 12:54:51	2011-09-13 11:54:00	2011-09-13 11:54:51
878	2011-09-13	18:54:00	2011-09-13	19:54:51	0	0	*	*	*	*	*	*	*	2011-09-13 18:54:00	2011-09-13 19:54:51	2011-09-13 17:54:00	2011-09-13 18:54:51	2011-09-13 16:54:00	2011-09-13 17:54:51
879	2011-09-13	23:54:00	2011-09-13	23:54:52	45	315	*	*	*	*	*	*	*	2011-09-13 23:54:00	2011-09-13 23:54:52	2011-09-13 22:54:00	2011-09-13 22:54:52	2011-09-13 21:54:00	2011-09-13 21:54:52
880	2011-09-14	18:54:00	2011-09-14	18:54:52	45	315	*	*	*	*	*	*	*	2011-09-14 18:54:00	2011-09-14 18:54:52	2011-09-14 17:54:00	2011-09-14 17:54:52	2011-09-14 16:54:00	2011-09-14 16:54:52
881	2011-09-14	21:54:00	2011-09-14	23:54:52	90	270	*	*	*	*	*	*	*	2011-09-14 21:54:00	2011-09-14 23:54:52	2011-09-14 20:54:00	2011-09-14 22:54:52	2011-09-14 19:54:00	2011-09-14 21:54:52
882	2011-09-17	00:54:00	2011-09-17	01:54:52	45	315	*	*	*	*	*	*	*	2011-09-17 00:54:00	2011-09-17 01:54:52	2011-09-16 23:54:00	2011-09-17 00:54:52	2011-09-16 22:54:00	2011-09-16 23:54:52
883	2011-09-18	09:54:00	2011-09-18	09:54:53	180	135	*	*	*	*	*	*	*	2011-09-18 09:54:00	2011-09-18 09:54:53	2011-09-18 08:54:00	2011-09-18 08:54:53	2011-09-18 07:54:00	2011-09-18 07:54:53
884	2011-09-18	14:54:00	2011-09-18	15:54:53	270	90	*	*	*	*	*	*	*	2011-09-18 14:54:00	2011-09-18 15:54:53	2011-09-18 13:54:00	2011-09-18 14:54:53	2011-09-18 12:54:00	2011-09-18 13:54:53
885	2011-09-19	01:54:00	2011-09-19	01:54:53	315	45	*	*	*	*	*	*	*	2011-09-19 01:54:00	2011-09-19 01:54:53	2011-09-19 00:54:00	2011-09-19 00:54:53	2011-09-18 23:54:00	2011-09-18 23:54:53
886	2011-09-19	07:54:00	2011-09-19	07:54:53	0/135	225/360	*	*	*	*	*	*	*	2011-09-19 07:54:00	2011-09-19 07:54:53	2011-09-19 06:54:00	2011-09-19 06:54:53	2011-09-19 05:54:00	2011-09-19 05:54:53
887	2011-09-19	10:54:00	2011-09-19	*	45	*	*	*	*	*	*	*	*	2011-09-19 10:54:00		2011-09-19 09:54:00		2011-09-19 08:54:00	
888	2011-09-19	23:54:00	2011-09-20	00:54:54	315	45	*	*	*	*	*	*	*	2011-09-19 23:54:00	2011-09-20 00:54:54	2011-09-19 22:54:00	2011-09-19 23:54:54	2011-09-19 21:54:00	2011-09-19 22:54:54
889	2011-09-21	17:54:00	2011-09-21	18:54:53	315	45	*	*	*	*	*	*	*	2011-09-21 17:54:00	2011-09-21 18:54:53	2011-09-21 16:54:00	2011-09-21 17:54:53	2011-09-21 15:54:00	2011-09-21 16:54:53
890	2011-09-21	22:54:00	2011-09-21	22:54:53	360	360	*	*	*	*	*	*	*	2011-09-21 22:54:00	2011-09-21 22:54:53	2011-09-21 21:54:00	2011-09-21 21:54:53	2011-09-21 20:54:00	2011-09-21 20:54:53
891	2011-09-22	11:54:00	2011-09-22	11:54:53	360	360	*	*	*	*	*	*	*	2011-09-22 11:54:00	2011-09-22 11:54:53	2011-09-22 10:54:00	2011-09-22 10:54:53	2011-09-22 09:54:00	2011-09-22 09:54:53
892	2011-09-22	20:54:00	2011-09-22	20:54:53	315	45	*	*	*	*	*	*	*	2011-09-22 20:54:00	2011-09-22 20:54:53	2011-09-22 19:54:00	2011-09-22 19:54:53	2011-09-22 18:54:00	2011-09-22 18:54:53
893	2011-09-23	14:54:00	2011-09-23	18:54:54	45	315	*	*	*	*	*	*	*	2011-09-23 14:54:00	2011-09-23 18:54:54	2011-09-23 13:54:00	2011-09-23 17:54:54	2011-09-23 12:54:00	2011-09-23 16:54:54
894	2011-09-23	22:54:00	2011-09-23	22:54:54	45	315	*	*	*	*	*	*	*	2011-09-23 22:54:00	2011-09-23 22:54:54	2011-09-23 21:54:00	2011-09-23 21:54:54	2011-09-23 20:54:00	2011-09-23 20:54:54
895	2011-09-24	01:54:00	2011-09-24	01:54:54	135	270	*	*	*	*	*	*	*	2011-09-24 01:54:00	2011-09-24 01:54:54	2011-09-24 00:54:00	2011-09-24 00:54:54	2011-09-23 23:54:00	2011-09-23 23:54:54
896	2011-09-24	10:54:00	2011-09-24	10:54:54	90	270	*	*	*	*	*	*	*	2011-09-24 10:54:00	2011-09-24 10:54:54	2011-09-24 09:54:00	2011-09-24 09:54:54	2011-09-24 08:54:00	2011-09-24 08:54:54
897	2011-09-24	13:54:00	2011-09-24	13:54:54	360	360	*	*	*	*	*	*	*	2011-09-24 13:54:00	2011-09-24 13:54:54	2011-09-24 12:54:00	2011-09-24 12:54:54	2011-09-24 11:54:00	2011-09-24 11:54:54
898	2011-09-24	19:54:00	2011-09-24	19:54:54	45/135	225/315	*	*	*	*	*	*	*	2011-09-24 19:54:00	2011-09-24 19:54:54	2011-09-24 18:54:00	2011-09-24 18:54:54	2011-09-24 17:54:00	2011-09-24 17:54:54
899	2011-09-25	01:54:00	2011-09-25	02:54:54	135	225	*	*	*	*	*	*	*	2011-09-25 01:54:00	2011-09-25 02:54:54	2011-09-25 00:54:00	2011-09-25 01:54:54	2011-09-24 23:54:00	2011-09-25 00:54:54
900	2011-09-25	05:54:00	2011-09-25	05:54:54	135	270	*	*	*	*	*	*	*	2011-09-25 05:54:00	2011-09-25 05:54:54	2011-09-25 04:54:00	2011-09-25 04:54:54	2011-09-25 03:54:00	2011-09-25 03:54:54
901	2011-09-25	08:54:00	2011-09-25	10:54:54	135/0	225/0	*	*	*	*	*	*	*	2011-09-25 08:54:00	2011-09-25 10:54:54	2011-09-25 07:54:00	2011-09-25 09:54:54	2011-09-25 06:54:00	2011-09-25 08:54:54
902	2011-09-26	05:54:00	2011-09-26	05:54:54	90	0	*	*	*	*	*	*	*	2011-09-26 05:54:00	2011-09-26 05:54:54	2011-09-26 04:54:00	2011-09-26 04:54:54	2011-09-26 03:54:00	2011-09-26 03:54:54
903	2011-09-27	01:54:00	2011-09-27	02:54:54	90	270	*	*	*	*	*	*	*	2011-09-27 01:54:00	2011-09-27 02:54:54	2011-09-27 00:54:00	2011-09-27 01:54:54	2011-09-26 23:54:00	2011-09-27 00:54:54
904	2011-09-27	04:54:00	2011-09-27	05:54:54	225/0	135/0	*	*	*	*	*	*	*	2011-09-27 04:54:00	2011-09-27 05:54:54	2011-09-27 03:54:00	2011-09-27 04:54:54	2011-09-27 02:54:00	2011-09-27 03:54:54
905	2011-09-28	17:54:00	2011-09-28	18:54:55	90	270	*	*	*	*	*	*	*	2011-09-28 17:54:00	2011-09-28 18:54:55	2011-09-28 16:54:00	2011-09-28 17:54:55	2011-09-28 15:54:00	2011-09-28 16:54:55
906a	2011-09-29	19:54:00	2011-09-29	19:54:55	225/315	45/135	*	*	*	*	*	*	*	2011-09-29 19:54:00	2011-09-29 19:54:55	2011-09-29 18:54:00	2011-09-29 18:54:55	2011-09-29 17:54:00	2011-09-29 17:54:55
906b	2011-09-29	19:54:00	2011-09-29	19:54:55	225/315	45/135	*	*	*	*	*	*	*	2011-09-29 19:54:00	2011-09-29 19:54:55	2011-09-29 18:54:00	2011-09-29 18:54:55	2011-09-29 17:54:00	2011-09-29 17:54:55
907	2011-09-30	01:54:00	2011-09-30	01:54:55	315	45	*	*	*	*	*	*	*	2011-09-30 01:54:00	2011-09-30 01:54:55	2011-09-30 00:54:00	2011-09-30 00:54:55	2011-09-29 23:54:00	2011-09-29 23:54:55
908	2011-09-30	20:54:00	2011-09-30	20:54:55	90	270	*	*	*	*	*	*	*	2011-09-30 20:54:00	2011-09-30 20:54:55	2011-09-30 19:54:00	2011-09-30 19:54:55	2011-09-30 18:54:00	2011-09-30 18:54:55
909	2011-10-01	00:54:00	2011-10-01	01:54:55	315	45	*	*	*	*	*	*	*	2011-10-01 00:54:00	2011-10-01 01:54:55	2011-09-30 23:54:00	2011-10-01 00:54:55	2011-09-30 22:54:00	2011-09-30 23:54:55
910	2011-10-01	10:54:00	2011-10-01	10:54:55	90	270	*	*	*	*	*	*	*	2011-10-01 10:54:00	2011-10-01 10:54:55	2011-10-01 09:54:00	2011-10-01 09:54:55	2011-10-01 08:54:00	2011-10-01 08:54:55
911	2011-10-01	21:54:00	2011-10-01	21:54:55	360	360	*	*	*	*	*	*	*	2011-10-01 21:54:00	2011-10-01 21:54:55	2011-10-01 20:54:00	2011-10-01 20:54:55	2011-10-01 19:54:00	2011-10-01 19:54:55
912	2011-10-02	01:54:00	2011-10-02	02:54:55	90	270	*	*	*	*	*	*	*	2011-10-02 01:54:00	2011-10-02 02:54:55	2011-10-02 00:54:00	2011-10-02 01:54:55	2011-10-01 23:54:00	2011-10-02 00:54:55
913	2011-10-02	07:54:00	2011-10-02	07:54:55	45	315	*	*	*	*	*	*	*	2011-10-02 07:54:00	2011-10-02 07:54:55	2011-10-02 06:54:00	2011-10-02 06:54:55	2011-10-02 05:54:00	2011-10-02 05:54:55
914	2011-10-03	02:54:00	2011-10-03	04:54:55	45	0	*	*	*	*	*	*	*	2011-10-03 02:54:00	2011-10-03 04:54:55	2011-10-03 01:54:00	2011-10-03 03:54:55	2011-10-03 00:54:00	2011-10-03 02:54:55
915	2011-10-03	21:54:00	2011-10-04	01:54:56	90	270	*	*	*	*	*	*	*	2011-10-03 21:54:00	2011-10-04 01:54:56	2011-10-03 20:54:00	2011-10-04 00:54:56	2011-10-03 19:54:00	2011-10-03 23:54:56
916	2011-10-04	16:53:59	2011-10-04	13:54:56	360	45	*	*	*	*	*	*	*	2011-10-04 16:53:59	2011-10-04 13:54:56	2011-10-04 15:53:59	2011-10-04 12:54:56	2011-10-04 14:53:59	2011-10-04 11:54:56
917	2011-10-04	20:54:00	2011-10-04	20:54:56	90	270	*	*	*	*	*	*	*	2011-10-04 20:54:00	2011-10-04 20:54:56	2011-10-04 19:54:00	2011-10-04 19:54:56	2011-10-04 18:54:00	2011-10-04 18:54:56
918	2011-10-05	03:54:00	2011-10-05	04:54:56	45	315	*	*	*	*	*	*	*	2011-10-05 03:54:00	2011-10-05 04:54:56	2011-10-05 02:54:00	2011-10-05 03:54:56	2011-10-05 01:54:00	2011-10-05 02:54:56
919	2011-10-05	13:54:00	2011-10-05	16:54:56	135	225	*	*	*	*	*	*	*	2011-10-05 13:54:00	2011-10-05 16:54:56	2011-10-05 12:54:00	2011-10-05 15:54:56	2011-10-05 11:54:00	2011-10-05 14:54:56
920	2011-10-07	17:54:00	2011-10-07	19:54:56	45	315	*	*	*	*	*	*	*	2011-10-07 17:54:00	2011-10-07 19:54:56	2011-10-07 16:54:00	2011-10-07 18:54:56	2011-10-07 15:54:00	2011-10-07 17:54:56
921	2011-10-08	23:54:00	2011-10-09	01:54:56	180	180	*	*	*	*	*	*	*	2011-10-08 23:54:00	2011-10-09 01:54:56	2011-10-08 22:54:00	2011-10-09 00:54:56	2011-10-08 21:54:00	2011-10-08 23:54:56
922	2011-10-09	12:54:00	2011-10-09	13:54:56	270	90	*	*	*	*	*	*	*	2011-10-09 12:54:00	2011-10-09 13:54:56	2011-10-09 11:54:00	2011-10-09 12:54:56	2011-10-09 10:54:00	2011-10-09 11:54:56
923	2011-10-10	04:54:00	2011-10-10	04:54:57	270	90	*	*	*	*	*	*	*	2011-10-10 04:54:00	2011-10-10 04:54:57	2011-10-10 03:54:00	2011-10-10 03:54:57	2011-10-10 02:54:00	2011-10-10 02:54:57
924	2011-10-10	10:54:00	2011-10-10	11:54:57	0	0	*	*	*	*	*	*	*	2011-10-10 10:54:00	2011-10-10 11:54:57	2011-10-10 09:54:00	2011-10-10 10:54:57	2011-10-10 08:54:00	2011-10-10 09:54:57
925	2011-10-13	02:54:00	2011-10-13	02:54:57	270/45	315/90	*	*	*	*	*	*	*	2011-10-13 02:54:00	2011-10-13 02:54:57	2011-10-13 01:54:00	2011-10-13 01:54:57	2011-10-13 00:54:00	2011-10-13 00:54:57
926	2011-10-13	17:54:00	2011-10-13	*	270	*	*	*	*	*	*	*	*	2011-10-13 17:54:00		2011-10-13 16:54:00		2011-10-13 15:54:00	
927	2011-10-14	09:54:00	2011-10-14	10:54:57	315	45	*	*	*	*	*	*	*	2011-10-14 09:54:00	2011-10-14 10:54:57	2011-10-14 08:54:00	2011-10-14 09:54:57	2011-10-14 07:54:00	2011-10-14 08:54:57
928	2011-10-14	12:54:00	2011-10-14	12:54:57	270	90	*	*	*	*	*	*	*	2011-10-14 12:54:00	2011-10-14 12:54:57	2011-10-14 11:54:00	2011-10-14 11:54:57	2011-10-14 10:54:00	2011-10-14 10:54:57
929	2011-10-14	20:54:00	2011-10-14	21:54:57	315	0	*	*	*	*	*	*	*	2011-10-14 20:54:00	2011-10-14 21:54:57	2011-10-14 19:54:00	2011-10-14 20:54:57	2011-10-14 18:54:00	2011-10-14 19:54:57
930	2011-10-15	06:54:00	2011-10-15	07:54:57	270/45	90	*	*	*	*	*	*	*	2011-10-15 06:54:00	2011-10-15 07:54:57	2011-10-15 05:54:00	2011-10-15 06:54:57	2011-10-15 04:54:00	2011-10-15 05:54:57
931	2011-10-15	09:54:00	2011-10-15	10:54:57	315	45	*	*	*	*	*	*	*	2011-10-15 09:54:00	2011-10-15 10:54:57	2011-10-15 08:54:00	2011-10-15 09:54:57	2011-10-15 07:54:00	2011-10-15 08:54:57
932	2011-10-16	17:54:00	2011-10-16	19:54:57	45	0	*	*	*	*	*	*	*	2011-10-16 17:54:00	2011-10-16 19:54:57	2011-10-16 16:54:00	2011-10-16 18:54:57	2011-10-16 15:54:00	2011-10-16 17:54:57
933	2011-10-17	12:54:00	2011-10-17	10:54:57	135	225	*	*	*	*	*	*	*	2011-10-17 12:54:00	2011-10-17 10:54:57	2011-10-17 11:54:00	2011-10-17 09:54:57	2011-10-17 10:54:00	2011-10-17 08:54:57
